"Rate"
5
0
5.5
7.875
0
2.91
15
0
14.8
6
4
10.25
8
6
7
5
6.5
7
4.5
9
6
5
6
6.875
7
4.255
7
6.5
0
9
11.625
5.125
4
4.75
5
5.75
4.5
1.8
6
10.5
7
4.5
7
6
5.02
9
4.3
6.971
6
5
4
