"Column1"
"North Carolina"
"Texas"
"Massachusetts"
"Montana"
"Massachusetts"
"Illinois"
"Ohio"
"Texas"
"Colorado"
"Texas"
"Florida"
"Hawaii"
"New Jersey"
"Nevada"
"California"
"Tennessee"
"New Jersey"
"Louisiana"
"New York"
"California"
"California"
"Rhode Island"
"New York"
"Oregon"
"California"
"California"
"California"
"California"
"California"
"Washington"
"Minnesota"
"District of Columbia"
